Title,Authors,Year,Source/Venue,URL,Brief Description/Keywords,Source_File,Domain_Category,Access_Type
Persistent Memory-based Storage Node for HPC Domain,Various Authors,2022,SNIA,https://www.snia.org/educational-library/persistent-memory-based-storage-node-hpc-domain-2022,Persistent memory limitations HPC storage bottlenecks I/O performance,Storage Architecture Limitations,Other (snia.org),manual
Endurance considerations for Flash Storage Devices,IBM Systems,2021,IBM Support,https://www.ibm.com/support/pages/endurance-considerations-flash-storage-devices-ibm-systems,Flash storage endurance limitations enterprise considerations lifetime management,Storage Architecture Limitations,Other (ibm.com),manual
Building a Large-Scale Distributed Storage System Based on Raft,Various Authors,2020,DZone/CNCF,https://www.cncf.io/blog/2019/11/04/building-a-large-scale-distributed-storage-system-based-on-raft/,Distributed consensus limitations Raft protocol scalability large-scale constraints,Storage Architecture Limitations,Other (cncf.io),manual
A Comprehensive Framework for Multimodal Sensor Fusion in Intelligent Manufacturing: Innovations Interpretability and Real-world Applications,Not specified,2024,Journal of Computer Technology and Applied Mathematics,https://www.suaspress.org/ojs/index.php/JCTAM/article/view/v1n4a05,Hybrid fusion method with attention mechanisms for intelligent manufacturing sensor integration,Multimodal Data Capture Standardization,Other (suaspress.org),manual
SPIQA: Scientific Paper Image Question Answering,Not specified,2024,NeurIPS,https://neurips.cc/virtual/2024/events/datasets-benchmarks-2024,Large-scale QA dataset for interpreting scientific figures with standardized evaluation splits,Multimodal Data Capture Standardization,Other (neurips.cc),manual
Building and using personal knowledge graph to improve suicidal ideation detection on social media,Unknown Authors,2020,Research Publication,Not available,Mental health; suicide prevention; social media analysis,Personal Knowledge Graphs,No URL,manual
Temporal Knowledge Graph Completion: A Survey,Unknown Authors,2023,IJCAI,https://www.ijcai.org/proceedings/2023/0734.pdf,Temporal KG; knowledge completion; survey paper,Personal Knowledge Graphs,Other (ijcai.org),manual
Temporal Knowledge Graph Completion Using Box Embeddings,Johannes Messner et al.,2022,AAAI,https://aaai.org/papers/07779-temporal-knowledge-graph-completion-using-box-embeddings/,Box embedding approach for temporal knowledge graphs,Temporal Knowledge Graphs,Other (aaai.org),manual
What are the challenges in maintaining a knowledge graph? - Milvus,,2025,Other,https://milvus.io/ai-quick-reference/what-are-the-challenges-in-maintaining-a-knowledge-graph,- [Home](https://milvus.io/) - [AI Reference](https://milvus.io/ai-quick-reference) - What are the challenges in maintaining a knowledge graph? # What are the challenges in maintaining a knowledge gra...,Data Integration Challenges,Other (milvus.io),manual
[PDF] Describe and query semantic building digital twin data in temporal ...,,2023,Other,https://ec-3.org/publications/conferences/EC32023/papers/EC32023_262.pdf,"2023 European Conference on Computing in Construction 40th International CIB W78 Conference Heraklion, Crete, Greece July 10-12, 2023 Describe and query semantic building digital twin data in temporal...",Data Integration Challenges,Other (ec-3.org),manual
