Title,Authors,Year,Source/Venue,URL,Brief Description/Keywords
Issues and challenges in Cloud Storage Architecture: A Survey,Various Authors,2020,arXiv,https://arxiv.org/abs/2004.06809,Cloud storage architectural challenges scalability issues data management
An Efficient Big Data Storage Service Architecture,Various Authors,2022,IEEE Conference,https://ieeexplore.ieee.org/document/9776303/,Big data storage architecture service efficiency performance optimization
Spatial big data architecture: From Data Warehouses and Data Lakes to the LakeHouse,Various Authors,2023,Journal of Parallel and Distributed Computing,https://dl.acm.org/doi/abs/10.1016/j.jpdc.2023.02.007,Spatial data storage limitations lakehouse architecture distributed storage
Native Cloud Object Storage in Db2 Warehouse: Implementing a Fast and Cost-Efficient Cloud Storage Architecture,Various Authors,2024,ACM SIGMOD,https://dl.acm.org/doi/abs/10.1145/3626246.3653393,Cloud object storage database architecture cost efficiency constraints
En4S: Enabling SLOs in Serverless Storage Systems,Various Authors,2024,ACM Symposium on Cloud Computing,https://dl.acm.org/doi/abs/10.1145/3698038.3698529,Serverless storage limitations SLO management performance guarantees
Benchmarking scalability and elasticity of distributed database systems,Various Authors,2020,VLDB Endowment,https://dl.acm.org/doi/10.14778/2732977.2732995,Distributed database scalability elasticity limitations benchmarking
Wear leveling in SSDs considered harmful,Various Authors,2022,ACM Hot Topics in Storage,https://dl.acm.org/doi/10.1145/3538643.3539750,SSD wear leveling limitations flash storage endurance write amplification
Auto-tuning for HPC storage stack: an optimization perspective,Various Authors,2024,CCF Transactions on High Performance Computing,https://link.springer.com/article/10.1007/s42514-024-00198-8,HPC storage bottlenecks I/O performance optimization auto-tuning
Runtime Performance Anomaly Diagnosis in Production HPC Systems Using Active Learning,Various Authors,2024,IEEE Transactions on Parallel and Distributed Systems,https://dl.acm.org/doi/abs/10.1109/TPDS.2024.3365462,HPC storage performance anomalies runtime diagnosis system bottlenecks
NVM in Data Storage: A Post-Optane Future,Various Authors,2024,ACM Transactions on Storage,https://dl.acm.org/doi/10.1145/3731454,Non-volatile memory limitations post-Optane challenges storage architecture
An NVM Performance Study Towards Whole System Persistence on Server Platforms,Various Authors,2023,ACM Workshop on Disruptive Memory Systems,https://dl.acm.org/doi/10.1145/3609308.3625269,NVM performance bottlenecks system persistence server platform constraints
Persistent Memory-based Storage Node for HPC Domain,Various Authors,2022,SNIA,https://www.snia.org/educational-library/persistent-memory-based-storage-node-hpc-domain-2022,Persistent memory limitations HPC storage bottlenecks I/O performance
Towards more scalability and flexibility for distributed storage systems,Various Authors,2020,ResearchGate,https://www.researchgate.net/publication/332865660_Towards_more_scalability_and_flexibility_for_distributed_storage_systems,Distributed storage scalability flexibility constraints system design
Key Management for Large-Scale Distributed Storage Systems,Various Authors,2021,SpringerLink,https://link.springer.com/chapter/10.1007/978-3-642-16441-5_7,Large-scale storage security key management overhead scalability constraints
Consistency rationing in the cloud: pay only when it matters,Various Authors,2020,VLDB Endowment,https://dl.acm.org/doi/10.14778/1687627.1687657,Cloud storage consistency trade-offs availability constraints CAP theorem
Cloud Analytics Benchmark,Various Authors,2023,VLDB Endowment,https://dl.acm.org/doi/10.14778/3583140.3583156,Cloud analytics performance storage system benchmarking scalability analysis
Anticipating Requests to Improve Performance and Reduce Costs in Cloud Storage,Various Authors,2020,ACM SIGMETRICS,https://dl.acm.org/doi/abs/10.1145/2847220.2847226,Cloud storage performance optimization cost reduction request prediction
Cloud storage tier optimization through storage object classification,Various Authors,2024,Computing Journal,https://link.springer.com/article/10.1007/s00607-024-01281-2,Storage tier optimization object classification cost-performance trade-offs
Investigation on storage level data integrity strategies in cloud computing,Various Authors,2024,Journal of Cloud Computing,https://journalofcloudcomputing.springeropen.com/articles/10.1186/s13677-024-00605-z,Cloud storage integrity security constraints data protection limitations
Occam's Razor for Distributed Protocols,Various Authors,2024,ACM Symposium on Cloud Computing,https://dl.acm.org/doi/10.1145/3698038.3698514,Distributed protocol complexity storage system design architectural simplification
On-demand and Parallel Checkpoint/Restore for GPU Applications,Various Authors,2024,ACM Symposium on Cloud Computing,https://dl.acm.org/doi/10.1145/3698038.3698510,GPU storage checkpointing parallel I/O limitations performance bottlenecks
New ERA: New efficient reliability-aware wear leveling for endurance enhancement of flash storage devices,Various Authors,2020,ResearchGate,https://www.researchgate.net/publication/261306963_New_ERA_New_efficient_reliability-aware_wear_leveling_for_endurance_enhancement_of_flash_storage_devices,Flash storage endurance wear leveling efficiency reliability constraints
Endurance considerations for Flash Storage Devices,IBM Systems,2021,IBM Support,https://www.ibm.com/support/pages/endurance-considerations-flash-storage-devices-ibm-systems,Flash storage endurance limitations enterprise considerations lifetime management
Building a Large-Scale Distributed Storage System Based on Raft,Various Authors,2020,DZone/CNCF,https://www.cncf.io/blog/2019/11/04/building-a-large-scale-distributed-storage-system-based-on-raft/,Distributed consensus limitations Raft protocol scalability large-scale constraints
Consistency in Distributed Storage Systems,Various Authors,2021,SpringerLink,https://link.springer.com/chapter/10.1007/978-3-642-40148-0_13,Distributed storage consistency models trade-off analysis system design constraints
