"Title","URL","Status","Notes"
"A comprehensive survey of personal knowledge graphs","https://wires.onlinelibrary.wiley.com/doi/10.1002/widm.1513","skipped_paywall","Original paywall issue"
"Cross-Data Knowledge Graph Construction for LLM-enabled Educational Question-Answering System","https://dl.acm.org/doi/10.1145/3643479.3662055","downloaded","Found arXiv version: arXiv:2404.09296"
"Question answering over temporal knowledge graphs based on hierarchical semantic extraction","https://ieeexplore.ieee.org/document/10924876/","downloaded","Found multiple arXiv versions"
"Temporal Knowledge Graph Reasoning Based on Dynamic Fusion Representation Learning","https://onlinelibrary.wiley.com/doi/10.1111/exsy.13758","title_extracted","No open access version found"
"Local-Global History-Aware Contrastive Learning for Temporal Knowledge Graph Reasoning","https://ieeexplore.ieee.org/document/10597747/","downloaded","Found arXiv version: arXiv:2312.01601"
"A Blockchain-Based Personal Health Knowledge Graph for Secure Integrated Health Data Management","https://ieeexplore.ieee.org/document/10218032/","not_found","Could not locate open access version"
"Unknown Title - ACM Paper","https://dl.acm.org/doi/10.1145/3557990.3567586","cloudflare_blocked","Blocked by Cloudflare verification"
"Prior knowledge-guided multilevel graph neural network for tumor risk prediction","https://academic.oup.com/bib/article/doi/10.1093/bib/bbae184/7658016","title_extracted","No open access version found"
"Unknown Title - ACM Paper","https://dl.acm.org/doi/10.1145/3653015","cloudflare_blocked","Blocked by Cloudflare verification"
"Development of a proof-of-concept prototype in a distributed online collaborative learning environment","https://journals.sagepub.com/doi/10.1177/03064190231200397","title_extracted","No open access version found"
"Unknown Title - Maharot Journal","https://ejournal.unia.ac.id/index.php/maharot/article/view/1937","pending","Not checked yet"
"A SysML-centric integration framework for helicopter fuel system development","https://iopscience.iop.org/article/10.1088/1742-6596/2472/1/012040","downloaded","Found via CORE open access"
"Unknown Title - OnePetro","https://onepetro.org/SPEADIP/proceedings/24ADIP/24ADIP/D031S123R003/585414","pending","Not checked yet"
"Platform Development for Proof-of-Concept of Smartphone-based Continuous Complex Positioning","https://ieeexplore.ieee.org/document/10827363/","title_extracted","No open access version found"
"Development of a proof-of-concept model for digital technology integration in curriculum","https://journals.sagepub.com/doi/10.1177/09504222231224090","title_extracted","No open access version found"
"A Lexical Approach for Identifying Behavioral Action Sequences","https://journals.sagepub.com/doi/10.1177/00187208211045167","title_extracted","No open access version found"
"Unknown Title - Semantic Scholar","https://www.semanticscholar.org/paper/c9f56d69c76cb5e7a9d803ffcdbf28ee8a46...","pending","Truncated URL"
"Design of an Overall Software Framework for a Plan Summary Evaluation Model","https://dl.acm.org/doi/10.1145/3700906.3700976","pending","Not checked yet"
"Migration of Monolithic to Microservices ...","Truncated URL","pending","URL is truncated"
"NTIRE 2022 Challenge on Efficient Super-Resolution: Methods and Results","https://ieeexplore.ieee.org/document/9857089/","not_relevant","Image processing paper - not relevant to PKG/HDM"
"ASPRINO D'AVERSA VITE MARITATA 2022 - THE BOURBONS","https://www.e-noteca.it/product/27521065/asprino-d-aversa-vite-maritata-2022-i-borboni?lang=en_US","not_relevant","Wine product - not a research paper"
"NTIRE 2022 Challenge on Perceptual Image Quality Assessment","https://ieeexplore.ieee.org/document/9857130/","not_relevant","Image processing paper - not relevant to PKG/HDM"
"I Borboni Vulpis Asprinio IGP (2022) – Campania - Passione Vino","https://shop.passionevino.co.uk/products/i-borboni-vulpis-asprinio-igp-2022-campania","not_relevant","Wine product - not a research paper"
"Crowdsensing-based Road Damage Detection Challenge (CRDDC'2022)","https://ieeexplore.ieee.org/document/10021040/","not_relevant","Road damage detection - not relevant to PKG/HDM"
"NTIRE 2022 Challenge on High Dynamic Range Imaging: Methods and Results","https://ieeexplore.ieee.org/document/9856998/","not_relevant","Image processing paper - not relevant to PKG/HDM"
"NTIRE 2022 Challenge on Super-Resolution and Quality Enhancement of Compressed Video","https://ieeexplore.ieee.org/document/9857103/","not_relevant","Video processing paper - not relevant to PKG/HDM"
"SYN-MAD 2022: Competition on Face Morphing Attack Detection","https://ieeexplore.ieee.org/document/10007950/","not_relevant","Face morphing detection - not relevant to PKG/HDM"
"Multi-Camera Vehicle Tracking System for AI City Challenge 2022","https://ieeexplore.ieee.org/document/9857328/","not_relevant","Vehicle tracking - not relevant to PKG/HDM"
"A study on temporal knowledge graph enrichment","https://espace.library.uq.edu.au/view/UQ:c288d0a","pending","Not checked yet"
"Knowledge Graph Construction with a Façade: A Unified Method to Access Heterogeneous Data Sources on the Web","https://dl.acm.org/doi/10.1145/3555312","pending","Not checked yet"
